Date,Action,Ticker,Price,Shares,Total_Value,Cash_Left
2026-06-13 15:55,DEPOSIT,NONE,0.0,0,100000.0,100000.0
2026-06-15 02:01,BUY,2002.TW,19.100000381469727,1047,19997.700399398804,80002.2996006012
2026-07-02 01:31,SELL,2002.TW,18.64999961853028,1047,19526.5496006012,99528.8492012024
2026-07-08 04:01,BUY,2603.TW,195.0,102,19890.0,79638.8492012024
2026-07-16 03:01,BUY,2317.TW,243.5,65,15827.5,63811.34920120241
2026-07-17 02:01,BUY,2002.TW,18.850000381469727,677,12761.450258255005,51049.8989429474
2026-07-22 01:31,BUY,2308.TW,1920.0,4,7680.0,43369.8989429474
2026-07-24 02:01,BUY,2454.TW,3910.0,1,3910.0,39459.8989429474
2026-07-24 05:31,SELL,2308.TW,1795.0,4,7180.0,46639.8989429474
2026-07-27 01:30,SELL,2454.TW,3660.0,1,3660.0,50299.8989429474
2026-07-28 03:30,SELL,2317.TW,240.0,65,15600.0,65899.8989429474
2026-07-28 04:01,BUY,2317.TW,242.5,54,13095.0,52804.8989429474
2026-07-30 05:30,SELL,2317.TW,227.0,54,12258.0,65062.8989429474
2026-07-31 01:31,BUY,2317.TW,245.5,53,13011.5,52051.3989429474
2026-08-05 02:01,BUY,2330.TW,2395.0,4,9580.0,42471.3989429474
2026-08-12 02:01,BUY,2382.TW,322.5,26,8385.0,34086.3989429474
2026-08-14 02:01,SELL,2002.TW,19.0,677,12863.0,46949.3989429474
2026-08-14 02:31,BUY,2891.TW,65.5999984741211,143,9380.799781799316,37568.599161148086
2026-08-18 02:01,SELL,2317.TW,252.0,53,13356.0,50924.599161148086
2026-08-20 02:31,SELL,2891.TW,62.59999847412109,143,8951.799781799316,59876.3989429474
2026-08-24 02:31,BUY,2002.TW,19.299999237060547,620,11965.99952697754,47910.39941596986
2026-08-26 02:01,SELL,2603.TW,234.5,102,23919.0,71829.39941596986
2026-08-26 05:02,BUY,2308.TW,1745.0,7,12215.0,59614.39941596986
