Datetime,DYN_1,DYN_2,STA_1,STA_2
06/16 11:05,100000.0,100000.0,100000.0,100000.0
06/16 11:18,100000.0,100000.0,100000.0,100000.0
06/16 12:12,99528.84920120239,99528.84920120239,99528.84920120239,99528.84920120239
06/17 01:01,99528.84920120239,99528.84920120239,99528.84920120239,99528.84920120239
06/17 01:31,99528.84920120239,99528.84920120239,99528.84920120239,99528.84920120239
06/17 02:01,99476.5,99476.5,99476.5,99476.5
06/17 02:31,99633.5496006012,99633.5496006012,99633.5496006012,99633.5496006012
06/17 03:01,99581.2003993988,99581.2003993988,99581.2003993988,99581.2003993988
06/17 03:31,99528.84920120239,99528.84920120239,99528.84920120239,99528.84920120239
06/17 04:01,99581.2003993988,99581.2003993988,99581.2003993988,99581.2003993988
06/17 04:31,99528.84920120239,99528.84920120239,99528.84920120239,99528.84920120239
06/17 05:01,99581.2003993988,99581.2003993988,99581.2003993988,99581.2003993988
06/17 05:31,99581.2003993988,99581.2003993988,99581.2003993988,99581.2003993988
06/18 01:01,99633.5496006012,99633.5496006012,99633.5496006012,99633.5496006012
